globalId,examNumber,questionNumber,question,reference
189,8,21,During which period did the Beatles become popular and social laws were liberalised?,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."
190,8,22,The Man Booker Prize is awarded in which of the following categories?,"The Man Booker Prize for Fiction is awarded annually for the best fiction novel (literature) written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."
191,8,23,What sort of election takes place when a member of the Parliament (MP) dies or resigns?,"If an MP dies or resigns, there will be a fresh election, called a by-election, in his or her constituency."
192,8,24,What is the Turner Prize?,The Turner Prize was established in 1984 and celebrates contemporary art. The Turner Prize is recognised as one of the most prestigious visual art awards in Europe.
193,9,1,Which flower is associated with Northern Ireland?,"Each country in the UK has a flower symbol, sometimes worn on the national saint's day: England – the rose, Scotland – the thistle, Wales – the daffodil, Northern Ireland – the shamrock."
194,9,2,The last battle between Britain and France was the battle of Waterloo.,This statement is true.
195,9,3,£100 is the highest value note in circulation in the UK.,This statement is false.
196,9,4,Where is the Lake District National Park located?,Lake District is in England.
197,9,5,Which two responsibilities will you have as a British citizen?,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
198,9,6,Who was born in Stratford-upon-Avon?,"William Shakespeare was born in Stratford-upon-Avon, England."
199,9,7,Why is 1928 an important year in women’s voting history?,"Women were given the right to vote at the age of 21, the same as men."
200,9,8,What does Hogmanay refer to?,"In Scotland, the 31st of December (New Year’s Eve) is called Hogmanay."
201,9,9,What is the capital city of Northern Ireland?,"The capital cities of the UK nations are: London (England and the UK), Edinburgh (Scotland), Cardiff (Wales) and Belfast (Northern Ireland). The UK Parliament sits in Westminster, London. The Scottish Parliament is in Edinburgh. The Welsh Parliament (Senedd) is in Cardiff. The Northern Ireland Assembly is in Belfast (Stormont)."
202,9,10,Which of the following wars took place between 1899 and 1902 in South Africa?,The Boer War.
203,9,11,Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.,This statement is True.
204,9,12,Which two of the following policies are not controlled by the devolved administrations?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as education, are controlled by the devolved administrations."
205,9,13,"How old do citizens of the UK, the Irish Republic or the Commonwealth have to be to stand for public office?","Most citizens of the UK, the Irish republic or the Commonwealth aged 18 or over can stand for public office. There are some exceptions, including: members of the armed forces, civil servants and people found guilty of certain criminal offences."
206,9,14,How did the Government promote policies of free trade during the Victorian Age?,"During Victorian times, the government began to promote policies of free trade, abolishing a number of taxes on imported goods. One example of this was the repealing of the Corn Laws in 1846. These had prevented the import of cheap grain. The reforms helped the development of the British industry, because raw materials could now be imported cheaply."
207,9,15,Who was Admiral Nelson?,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar against the Spanish fleet and was killed in the battle.
208,9,16,"During the Middle Ages, who were the serfs?",Serfs were peasants who had a small area of their lord’s land where they could grow food.
209,9,17,Which invention lead to the rapid development of the industry in Britain during the 18th and 19th centuries?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use of steam power.
210,9,18,MPs can only be contacted by post.,"You can contact MPs by letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local ‘surgeries’, where constituents can go in person to talk about issues that are of concern to them."
211,9,19,What movement challenged the authority of the Pope?,The Reformation was a movement against the authority of the Pope and the ideas and practices of the Roman Catholic Church.
212,9,20,What English King introduced the Domesday Book?,"William the Conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book."
213,9,21,What did ‘the Butler Act’  introduce in 1944?,"Richard Austen Butler became a Conservative MP in 1923 and held several positions before becoming responsible for education in 1941. In this role, he oversaw the introduction of the Education Act 1944 (often called ‘The Butler Act’), which introduced free secondary education in England and Wales."
214,9,22,What is the small claims procedure?,The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer.
215,9,23,What building was constructed in Hyde Park to hold the Great Exhibition of 1851?,"In 1851, the Great Exhibition opened in Hyde Park in the Crystal Palace, a huge building made of steel and glass. Exhibits ranged from huge machines to handmade goods."
216,9,24,Who was Florence Nightingale?,Florence Nightingale was a nurse. She is often regarded as the founder of modern nursing.
217,10,1,Who is the patron Saint of England?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
218,10,2,Where is Loch Lomond and the Trossachs National Park located?,Loch Lomond and the Trossachs National Park is located in the west of Scotland.
219,10,3,Wales has its own established church.,False. There is no established Church in Wales or Northern Ireland.
220,10,4,What stories are associated with Geoffrey Chaucer?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage.  This collection of poems is called The Canterbury Tales
221,10,5,When is Boxing Day celebrated?,Boxing Day is the day after Christmas Day (26th December) and is a public holiday.
222,10,6,What is the name of the holiday when banks and many other businesses are closed for the day?,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
223,10,7,Why were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
224,10,8,What do you need to drive in the UK?,"In the UK, you must have a driving licence to drive on public roads."
225,10,9,Where does “the Fringe” festival take place?,"The Edinburgh Festival takes place in Edinburgh, Scotland, every summer. It is a series of different arts and cultural festivals, with the biggest and most well-known being the Edinburgh Festival Fringe (‘the Fringe’)."
226,10,10,How many members does the Welsh government have?,"The devolved parliaments and assemblies across the UK differ in size and election method: the Scottish Parliament has 129 MSPs, elected by proportional representation, with elections every five years; the Welsh Parliament (Senedd) has 60 MSs, elected by proportional representation, with elections every four years; the Northern Ireland Assembly has 90 MLAs, elected by proportional representation. The UK Parliament (Westminster) has 650 MPs, elected by first past the post, with general elections held at least every five years."
227,10,11,The names or photographs of  young people found guilty of a crime can be published in newspapers or used by the media.,"False. Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media."
228,10,12,What was Edward Elgar famous for?,Sir Edward Elgar (1857-1934) was a musician. His best known work is probably the Pomp and Circumstance Marches. March No1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall.
229,10,13,Which of the following is not a British banknote?,There are no £25 notes in the UK.
230,10,14,Where does the Scottish Grand National take place?,The Scottish Grand National takes place at Ayr.
231,10,15,The laws passed after the Glorious Revolution marked the beginning of the ______.,The laws passed after the Glorious Revolution marked the beginning of the constitutional monarchy.
232,10,16,"During the reign of Elizabeth I, a large fleet of ships was sent to England to conquer the country and to restore Catholicism, where did this fleet come from?","Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
233,10,17,What did the Habeas Corpus Act introduce?,The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for ‘you must present the person in court’. The Act guaranteed that no one could be held prisoner unlawfully. Every prisoner has a right to a court hearing.
234,10,18,What did Emmeline Pankhurst fight for?,"Emmeline Pankhurst she set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’. The group used civil disobedience as part of their protest to gain the vote for women. In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
235,10,19,What is “the Proms”?,"The Proms is an eight-week summer season of orchestral classical music that takes place in various venues, including the Royal Albert Hall in London."
236,10,20,What was Isaac Newton known for?,"Newton’s most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principle of Natural Philosophy’), which showed how gravity applied to the whole universe."
237,10,21,When did the WWI come to an end?,The World War I ended in 1918.
238,10,22,Who built a wall in the north of England to keep out the Picts (ancestors of the Scottish people)?,The Emperor Hadrian built a wall in the north of England to keep out the Picts (ancestors of the Scottish people).
239,10,23,Which two universities participate in an annual rowing race that takes place on the River Thames?,"Rowing is also popular, both as a leisure activity and as a competitive sport. There is a popular yearly race on the Thames between Oxford and Cambridge Universities."
240,10,24,Does Britain have a written constitution?,"The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’."
241,11,1,Is St Helena part of the UK?,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but are not part of it."
242,11,2,Where is Theatreland?,"London's West End, also known as 'Theatreland', is particularly well known for its theatres."
243,11,3,What is the name of the UK currency?,The currency in the UK is the pound sterling (symbol £).
244,11,4,What other name is given to Diwali?,Diwali is often called the Festival of Lights.
245,11,5,What is the Enlightenment?,"The Enlightenment was a period during the 18th century when new ideas about politics, philosophy and science were developed."
246,11,6,Which of the following charities helps the environment?,Friends of the Earth is an environmental charity.
247,11,7,Which of the following was a crucial aerial battle fought between Germany and Britain during WWII?,The Battle of Britain.
248,11,8,What was Margaret Thatcher famous for?,Margaret Thatcher was the first woman Prime Minister of the UK.
249,11,9,Which two languages combined to become one English language?,"After the Norman Conquest, the king and his noblemen had spoken Norman French and the peasants had continued to speak Anglo-Saxon. Gradually these two languages combined to become one English language."
250,11,10,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints.",This statement is true.
251,11,11,Where did the Spanish Armada come from?,"In 1588 the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
252,11,12,What is the name of the War Memorial located in Whitehall?,The Cenotaph is a war memorial located in Whitehall.
253,11,13,The UK government has never suspended the Northern Ireland Assembly.,False. The Northern Ireland Assembly has been suspended on a few occasions.
254,11,14,What kind of church did Scotland establish in 1560?,"In 1560, the predominantly Protestant Scottish Parliament abolished the authority of the Pope in Scotland and Roman Catholic religious services became illegal. A Protestant Church of Scotland with an elected leadership was established but, unlike in England, this was not a state Church."
255,11,15,When was the Domesday Book written?,"William the conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book, which gives a picture of society in England just after the Norman Conquest."
256,11,16,The Northern Ireland Assembly cannot make decisions on which two of the following issues?,"The Northern Ireland Assembly can make decisions on issues such as: education, agriculture, the environment health and social services, but it cannot make decisions on immigration or defence issues."
257,11,17,What should you do to make a complaint about the police (choose two answers)?,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
258,11,18,What flower did William Wordsworth write about?,William Wordsworth wrote ‘The Daffodils’.
259,11,19,When is St Andrew’s day celebrated?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
260,11,20,Who was the architect that rebuilt Saint Paul’s cathedral after the Great Fire in 1666?,"In 1666, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral. London was rebuilt with a new St Paul’s, which was designed by a famous architect, Sir Christopher Wren."
261,11,21,When were the first coins in Britain made?,The people of the Iron Age made the first coins to be minted in Britain.
262,11,22,Who was Emmeline Pankhurst?,"Emmeline Pankhurst was born in Manchester in 1858. She set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’."
263,11,23,Who did Britain fight against in the Crimean War?,"From 1853 to 1856, Britain fought with Turkey and France against Russia in the Crimean War."
264,11,24,How old do you have to be to buy alcohol in the UK?,It is a criminal offence to sell alcohol to anyone who is under 18 or to buy alcohol for people who are under the age of 18. (There is one exception: people aged 16 or over can drink alcohol with a meal in a hotel or restaurant).
265,12,1,Which of the following is a Crown Dependency but not part of the UK?,The Channel Islands and the Isle of Man are closely linked with the UK but are not part of it. They have their own governments and are called ‘Crown dependencies’.
266,12,2,Is the BBC controlled by the government?,The BBC is the largest broadcaster in the world. It is the only wholly state-funded media organisation that is independent of government.
267,12,3,How many members does the Northern Ireland Assembly have?,"The devolved parliaments and assemblies across the UK differ in size and election method: the Scottish Parliament has 129 MSPs, elected by proportional representation, with elections every five years; the Welsh Parliament (Senedd) has 60 MSs, elected by proportional representation, with elections every four years; the Northern Ireland Assembly has 90 MLAs, elected by proportional representation. The UK Parliament (Westminster) has 650 MPs, elected by first past the post, with general elections held at least every five years."
268,12,4,Who was in charge of the British fleet at the Battle of Trafalgar?,Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle.
269,12,5,What was inscribed in the first coins to be minted in Britain during the Iron Age?,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings."
270,12,6,"Towns, cities and rural areas in the UK are governed by government appointed officials.","Towns, cities and rural areas in the UK are governed by democratically elected councils, often called ‘local authorities’."
271,12,7,Where is the Tate Art Gallery located?,The Tate Britain and Tate Modern are in London.
272,12,8,The version of the Bible created by King James I is known as:,One achievement of King James’ reign was a new translation of the Bible into English. This translation is known as the ‘King James Version’ or the ‘Authorised Version’.
273,12,9,What is the period of the 1960s known for?,"The decade of the 1960s was a period of significant social change. It was known as the 'swinging sixties'. There was growth in British fashion, cinema and popular music."
274,12,10,"Between 1680 and 1720 many refugees called Huguenots came to England, which country did they come from?",Between 1680 and 1720 many refugees called Huguenots came from France.
275,12,11,What is the most famous tennis tournament played in the UK?,"The most famous tournament hosted in Britain is The Wimbledon Championships, which takes place each year at the All England Lawn Tennis and Croquet Club."
276,12,12,MPs can only be contacted at their office in the House of Commons.,"You can contact MPs by letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local ‘surgeries’, where constituents can go in person to talk about issues that are of concern to them."
277,12,13,What is the day when jokes are published in newspapers and telecasted on TV?,"April Fool’s Day, 1 April, is a day when people play jokes on each other until midday. The television and newspapers often have stories that are April Fool jokes."
278,12,14,Which Scottish king defeated the English at the Battle of Bannockburn?,"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the Battle of Bannockburn, and Scotland remained unconquered by the English."
279,12,15,Who invented the World Wide Web?,The inventor of the World Wide Web was Sir Tim Berners-Lee.
280,12,16,How are civil servants appointed and what political party do they belong to?,Civil servants are chosen on merit and are politically neutral – they are not political appointees.
281,12,17,What is known as the “Dunkirk spirit”?,"During WWII as France fell, the British decided to evacuate British and French soldiers from France in a huge naval operation. Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk."
282,12,18,You have to be at least 21 years old to serve on a jury.,"Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
283,12,19,"If you wish to be a permanent resident or citizen of the UK, you should (choose TWO answers):","If you wish to be a permanent resident or citizen of the UK, you should: respect the rights of others, including their right to their own opinions, look after yourself and your family, respect and obey the law, treat others with fairness and look after the area in which you live and the environment."
284,12,20,Which of the following major sports event took place in the UK in 2012?,"The UK has hosted the Olympic games on three occasions: 1908, 1948 and 2012."
285,12,21,Charles I believed in the ‘Divine Right of Kings’ so he tried:,Charles I believed in the ‘Divine Right of Kings’: the idea that the king was directly appointed by God to rule. He thought that the king should be able to act without having to seek approval from Parliament and he tried to rule without the Parliament at all.
286,12,22,What is the Union Jack?,The Union Flag is also known as the Union Jack.
287,12,23,Who was voted the greatest Briton of all time in 2002?,In 2002 Winston Churchill was voted the greatest Briton of all time by the public.
288,12,24,Which of the following statements is true:,Women in Britain today make up about half of the workforce.
289,13,1,When is St George’s day?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
290,13,2,Which is the largest National Park in England?,The Lake District is England’s largest national park.
291,13,3,"Boudicca, was a tribal leader who fought against which foreign invaders?","One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni."
292,13,4,Which of the following poems is about a group of people going on a pilgrimage?,"Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. The people decided to tell each other stories on the journey, and the poems describe the travellers and some of the stories they told. This collection of poems is called The Canterbury Tales."
293,13,5,How are public holidays called?,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
294,13,6,How did Charles II manage to escape to Europe after his defeat in the Civil War?,"Charles II escaped from Worcester, famously hiding in an oak tree on one occasion, and eventually fled to Europe."
295,13,7,Who defeated the Vikings?,"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
296,13,8,Who was William Caxton?,William Caxton was the first person in England to print books using a printing press.
297,13,9,Where do Beefeaters serve as tour guides?,Beefeaters serve as tour guides at the Tower of London.
298,13,10,"During the rebellion of the clans in Scotland, Bonnie Prince Charlie was supported by clansmen from which Scottish region?",Charles Edward Stuart (Bonnie Prince Charlie) was supported by clansmen from the Scottish highlands.
299,13,11,What religion did Elizabeth I follow?,Elizabeth the I was a protestant.
300,13,12,Who became famous for his tramp character in silent movies?,Charlie Chaplin became famous in silent movies for his tramp character.
301,13,13,Which armed force was used in the Battle of Britain?,The Royal Air Force.
302,13,14,"In the UK, you have to be 21 years old to be able to vote in a general election.",The present voting age of 18 was set in 1969 and (with a few exceptions) all UK-born and naturalised adult citizens have the right to vote.
303,13,15,Which of the following poets was inspired by nature?,"British poets, including William Wordsworth, were inspired by nature."
304,13,16,Against which country did Britain fight at the Battle of Waterloo?,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
305,13,17,Who was William Wilberforce?,"William Wilberforce, an evangelical Christian and a member of Parliament, also played an important part in changing the law. Along with other abolitionists (people who supported the abolition of slavery), he succeeded in turning public opinion against the slave trade."
306,13,18,Who is the spiritual leader of the Church of England?,The spiritual leader of the Church of England is the Archbishop of Canterbury.
307,13,19,James I was King of which country before becoming King of England?,"When Elizabeth I died, her cousin James VI of Scotland became King James I of England, Wales and Ireland and Scotland remained a separate country."
308,13,20,Which of the following statements is correct?,"Most shops in the UK are open seven days a week, although trading hours on Sundays and public holidays are generally reduced."
309,13,21,Which country sent a fleet of ships to England in 1588?,"Elizabeth became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."
310,13,22,Where is the National Horseracing Museum located?,"There is a National Horseracing Museum in Newmarket, Suffolk."
311,13,23,Which of the following castles is located in Scotland?,Crathes Castle is located in Scotland.
312,13,24,Who was a famous Art Deco ceramic designer?,"Britain has produced many great designers, from Thomas Chippendale (who designed furniture in the 18th century) to Clarice Cliff (who designed Art Deco ceramics) to Sir Terence Conran (a 20th-century interior designer)."
313,14,1,When is St Patrick’s day celebrated?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
314,14,2,How are the members of the Northern Ireland Parliament elected?,"The devolved parliaments and assemblies across the UK differ in size and election method: the Scottish Parliament has 129 MSPs, elected by proportional representation, with elections every five years; the Welsh Parliament (Senedd) has 60 MSs, elected by proportional representation, with elections every four years; the Northern Ireland Assembly has 90 MLAs, elected by proportional representation. The UK Parliament (Westminster) has 650 MPs, elected by first past the post, with general elections held at least every five years."
315,14,3,Who was the first British Prime Minister?,"The most important minister in Parliament became known as the Prime Minister. The first man to be called this was Sir Robert Walpole, who was Prime Minister from 1721 to 1742."
316,14,4,Which of the following actresses has not won an Oscar?,"British actors to have won Oscars include Colin Firth, Sir Antony Hopkins, Dame Judi Dench, Kate Winslet and Tilda Swinton. Emily Watson has not won an Oscar yet."
317,14,5,"During the Enlightenment, Adam Smith developed ideas about:",During ‘the Enlightenment’ Adam Smith developed ideas about economics which are still referred to today.
318,14,6,Who died at the Battle of Trafalgar?,Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle.
319,14,7,When is Hogmanay celebrated?,"In Scotland, the 31st of December is called Hogmanay."
320,14,8,Proceedings in Parliament are broadcast on television and published in official reports known as:,Proceedings in Parliament are broadcast on television and published in official reports called Hansard.
321,14,9,Which of the following is a rugby competition?,"The most famous rugby union competition is the Six Nations Championship between England, Ireland, Scotland, Wales, France and Italy."
322,14,10,Who appoints life peers in the House of Lords?,Life peers are appointed by the monarch on the advice of the Prime Minister.
323,14,11,Who mapped the coast of Australia?,Captain James Cook mapped the coast of Australia and a few colonies were established there.
324,14,12,What was the first war to be extensively covered by the media?,The Crimean War was the first war to be extensively covered by the media through news stories and photographs.
325,14,13,Which of the following monuments is located in Wiltshire?,Stonehenge stands in what is now the English county of Wiltshire.
326,14,14,Who was the first Archbishop of Canterbury?,"St Augustine led missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury."
327,14,15,How old do you have to be to go into betting shops or gambling clubs?,You have to be 18 to go into betting shops or gambling clubs.
328,14,16,The system of government in the UK is a parliamentary democracy.,This statement is true.
329,14,17,What is the traditional food of Northern Ireland?,Ulster fry is the correct answer.
330,14,18,Who was elected as British Prime Minister in 1945?,In 1945 the British people elected a Labour government. The new Prime Minister was Clement Attlee.
331,14,19,How many times has the UK hosted the Olympic games?,"The UK has hosted the Olympic games on three occasions: 1908, 1948 and 2012."
332,14,20,Why were canals built during the Industrial Revolution?,"Canals were built to link the factories to towns and cities and to the ports, particularly in the new industrial areas in the middle and north of England."
333,14,21,Are civil servants appointed by the government?,Civil servants are accountable to ministers. They are chosen on merit and are politically neutral – they are not political appointees.
334,14,22,Which of the following countries helped Britain to develop the Concorde?,"Britain and France developed the world’s only supersonic commercial airliner, Concorde."
335,14,23,Which invention led to the development of Britain during the Industrial Revolution?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use of steam power.
336,14,24,Who was the tribal leader who fought against the Romans?,One of the tribal leaders who fought against the Romans was Boudicca.
337,15,1,Which two languages were used across England during the Middle Ages?,"The Middle Ages saw the development of a national culture and identity. After the Norman Conquest, the king and his noblemen had spoken Norman French and the peasants had continued to speak Anglo-Saxon."
338,15,2,"In 1776, which British colonies declared their independence because they demanded that there should be ‘no taxation without representation’.","In 1776, 13 American colonies declared their independence, stating that people had a right to establish their own governments."
339,15,3,When was England ruled by a republic and not by a monarch?,"When Charles I was executed, England declared itself a republic, called the Commonwealth. It no longer had a monarch."
340,15,4,Which film produced in the UK was one of the most commercially successful films of all time and one of the highest-grossing film franchises?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter and James Bond), have been produced in the UK."
341,15,5,When did the first farmers come to Britain?,"The first farmers arrived in Britain 6,000 years ago."
342,15,6,When did the First World War end?,The First World War ended at 11.00 am on 11th November 1918 with victory for Britain and its allies.
343,15,7,Can court orders be obtained to protect a person from being forced into a marriage?,"Court orders can be obtained to protect a person from being forced into a marriage, or to protect a person in a forced marriage."
344,15,8,What medal did Mary Peters win in the 1972 Olympics?,"Born in Manchester, Mary Peters moved to Northern Ireland as a child. She was a talented athlete who won an Olympic gold medal in the pentathlon in 1972."
345,15,9,"In England, Wales and Northern Ireland Youth Court cases are normally heard by (choose TWO answers)?","The UK court system handles both criminal and civil cases. In England, Wales and Northern Ireland: minor criminal cases go to a Magistrates' Court (heard by magistrates or a District Judge); more serious criminal cases go to the Crown Court (heard by a judge and jury); civil disputes go to the County Court or High Court. In Scotland: minor criminal offences go to a Justice of the Peace Court; more serious cases go to the Sheriff Court or High Court of Justiciary. Youth Courts (for those aged 10–17) are heard by up to three specially trained magistrates or a District Judge — members of the public are not admitted and the accused's name/photo cannot be published."
346,15,10,What was invented by Alan Turing in the 1930s?,"A Turing machine is a theoretical mathematical device invented by Alan Turing (1912-54), a British mathematician, in the 1930s."
347,15,11,Which of the following tells us about how people lived in England just after the Norman Conquest?,"William sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book. It still exists today and gives a picture of society in England just after the Norman Conquest."
348,15,12,Who led a team of scientists to ‘split the atom’ for the first time?,"Scientists led by Ernest Rutherford, working at Manchester and then Cambridge University, were the first to ‘split the atom’ and took part in the Manhattan Project in the United States, which developed the atomic bomb."
349,15,13,What song is sung by people in the UK and other countries when they are celebrating the New Year?,"The song Auld Lang Syne, which is sung by people in the UK and other countries when they are celebrating the New Year (or Hogmanay as it is called in Scotland)."
350,15,14,Who fought in the English Civil war of 1642?,The Civil war between the king and Parliament began in 1642. The country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
351,15,15,Which two of these forts were part of Hadrian’s wall?,"Parts of Hadrian’s Wall, include the forts of Housesteads and Vindolanda."
352,15,16,What was the religion of the Puritans?,The Puritans were a group of Protestants who advocated strict and simple religious doctrine and worship.
353,15,17,What is the name of Irish people who favoured complete independence from the UK in the 19th century?,"The Irish Nationalist movement had grown strongly through the 19th century. Some, such as the Fenians, favoured complete independence."
354,15,18,Which two British pop music groups were famous during the Swinging Sixties?,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones."
355,15,19,What is the minimum age required to drive a motorcycle?,"In the UK, you must be at least 17 years to drive a car or motorcycle and you must have a driving licence to drive on public roads."
356,15,20,"The members of the House of Lords, known as peers, are elected by the people.","The members of the House of Lords, known as peers, are not elected by the people."
357,15,21,When did the Emancipation Act abolish slavery throughout the British Empire?,In 1833 the Emancipation Act abolished slavery throughout the British Empire.
358,15,22,"Who is responsible for crime, policing and immigration?","The Home Secretary is responsible for crime, policing and immigration."
359,15,23,What kind of genre was the film Wallace and Gromit created by Nick Park?,"Nick Park won four Oscars for his animated films, including three for films featuring Wallace and Gromit."
360,15,24,"Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted.","Anyone who is violent towards their partner – whether they are a man or a woman, married or living together – can be prosecuted."
361,16,1,When was the United Nations set up?,The UN was set up after the Second World War and aims to prevent war and promote international peace and security.
362,16,2,Where is the Giant’s Causeway located?,The Giant’s Causeway is a land formation of columns made from volcanic lava located on the north-east coast of Northern Ireland. It was formed about 50 million years ago. There are many legends about the Causeway and how it was formed.
363,16,3,"What happened to Mary, Queen of Scots, after being sent to prison for 20 years by her cousin Queen Elizabeth I?","Mary was executed, accused of plotting against Elizabeth I."
364,16,4,Which tribe came to Britain from northern Europe after the Romans left in AD 410?,"Britain was invaded by tribes from northern Europe: the Jutes, the Angles and the Saxons."
365,16,5,What is one of the highest-grossing film franchises produced in the UK?,"Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter and James Bond), have been produced in the UK."
